Time,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,Altitude,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_ZLinear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z
0.0007,0.0785,-0.0392,9.4928,1.0000,0.0400,0.2200,9.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8000
0.0619,0.0785,-0.0392,9.4144,0.5000,0.0100,0.1000,9.4200,0.0100,0.1200,-0.3900,0.0000,0.0000,0.0000,0.0100,0.1100,9.8000
0.1164,0.0785,-0.0392,9.4536,0.5000,0.0400,0.1500,9.4500,0.0400,0.0400,-0.3400,360.0000,0.0625,-0.6250,0.0100,0.1100,9.8000
0.1721,0.0785,-0.0392,9.4536,0.5625,0.0600,0.1300,9.4400,0.0400,-0.0600,-0.4100,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.2254,0.0785,-0.1177,9.2575,0.6250,0.0600,0.3000,9.5300,0.0400,0.0600,-0.2700,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.2812,0.1177,-0.1177,9.3359,0.5000,0.0600,0.1600,9.4700,-0.0200,0.0500,-0.5500,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.3344,0.1177,-0.0392,9.4928,1.6875,0.0900,0.1000,9.4100,0.0600,0.0500,-0.4800,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.3897,0.0785,-0.0785,9.5321,1.6875,0.0900,0.1100,9.6000,0.0100,0.0500,-0.4600,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.4438,0.1569,-0.0785,9.6497,1.6875,0.0400,0.1100,9.5500,0.0300,0.0100,-0.4600,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.4996,0.0785,-0.0785,9.4928,0.3125,0.0400,0.1900,9.3800,0.0300,0.0700,-0.1900,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.5529,0.0785,-0.0392,9.4928,0.6875,0.0400,0.1100,9.3700,0.0200,0.0200,-0.4300,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.6090,0.0785,-0.0392,9.4928,0.1250,0.0300,0.1300,9.4100,0.0100,0.0100,-0.3800,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.6619,0.0785,-0.0392,9.4536,-0.0625,0.0200,0.1500,9.4400,0.0100,0.0300,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.7124,0.0785,-0.0392,9.4928,1.3125,0.0200,0.1200,9.4400,0.0100,0.0300,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.7638,0.0785,-0.0785,9.4928,1.6875,0.0300,0.1500,9.4800,0.0100,0.0300,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.8179,0.0785,-0.0392,9.4928,0.1875,0.0300,0.1300,9.4400,0.0300,0.0300,-0.3600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.8721,0.0785,-0.0785,9.4928,0.4375,0.0400,0.1500,9.4600,0.0200,0.0300,-0.2700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
