#,Time,State,Altitude,BMP_Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0852,GROUND,-0.4375,-1.5257,-0.0785,9.6497,0.1961,-0.1800,9.2400,0.5900,-0.0100,-0.5400,-0.0200,352.3750,-1.0000,-86.3750,-0.1800,9.7800,0.6000,-0.1500,-0.7322,-0.4469,-86.3750,24.7648,25.0000,0.0000,0.0000
2,5.1362,GROUND,0.6250,-1.9506,-0.1177,9.6105,0.0392,-0.0800,9.1200,0.6200,0.1400,-0.6600,0.0700,352.8750,-1.3125,-86.7500,-0.2300,9.7800,0.5400,-0.1554,-0.5826,0.2589,-86.7500,24.7648,25.0000,0.0000,0.0000
3,5.1862,GROUND,0.1250,-1.5215,0.0000,9.5713,0.0785,-0.1000,9.1200,0.6300,0.1400,-0.6600,0.1500,353.1875,-1.3750,-87.1250,-0.2400,9.7900,0.4800,-0.1873,-0.6052,0.1638,-87.1250,24.7648,25.0000,0.0000,0.0000
4,5.2361,GROUND,-0.1875,-1.7106,-0.0785,9.5321,0.0785,-0.2100,9.1200,0.5900,0.0100,-0.6600,0.1700,353.1875,-1.3125,-87.5000,-0.2200,9.7900,0.4200,-0.2239,-0.6572,-0.0666,-87.5000,24.7648,25.0000,0.0000,0.0000
5,5.2861,GROUND,0.1250,-1.8047,-0.1569,9.5321,0.0392,-0.3000,9.0500,0.5600,-0.0900,-0.7300,0.1800,353.1250,-1.1875,-87.7500,-0.2000,9.7900,0.3800,-0.2375,-0.6354,0.0401,-87.7500,24.7648,25.0000,0.0000,0.0000
6,5.3366,GROUND,0.0625,-1.7562,-0.1961,9.6105,0.0000,-0.3100,9.1500,0.4900,-0.1000,-0.6400,0.1200,353.4375,-1.1875,-87.8125,-0.2100,9.7900,0.3700,-0.1944,-0.6363,0.0420,-87.8125,24.7648,25.0000,0.0000,0.0000
7,5.3865,GROUND,-0.5625,-1.4235,-0.1961,9.5713,0.0000,-0.3200,9.0900,0.4200,-0.0800,-0.7000,0.0500,353.9375,-1.3750,-87.7500,-0.2300,9.7900,0.3700,-0.2023,-0.7611,-0.3471,-87.7500,24.7648,25.0000,0.0000,0.0000
8,5.4363,GROUND,-1.3125,-1.9453,-0.1961,9.6105,-0.0392,-0.3100,9.1100,0.4000,-0.0300,-0.6700,0.0000,354.5625,-1.6250,-87.6250,-0.2800,9.7900,0.3900,-0.1812,-0.9807,-0.9644,-87.6250,24.7648,25.0000,0.0000,0.0000
9,5.4860,GROUND,1.8125,-1.5185,-0.3138,9.5321,-0.1177,-0.3300,9.0300,0.3100,0.0000,-0.7500,-0.1400,355.1250,-1.8750,-87.3125,-0.3300,9.7900,0.4500,-0.2205,-0.2798,0.7538,-87.3125,24.7648,25.0000,0.0000,0.0000
10,5.5355,GROUND,-1.3125,-1.5181,-0.2354,9.4536,-0.1569,-0.3200,9.1100,0.3200,0.0000,-0.7500,-0.1400,355.6250,-2.1875,-86.9375,-0.3700,9.7800,0.5100,-0.2854,-0.8513,-0.5447,-86.9375,24.7648,25.0000,0.0000,0.0000
11,5.5840,GROUND,0.5000,-1.7077,-0.2746,9.8066,-0.0785,-0.3500,9.5000,0.3600,0.0400,-0.2700,-0.2000,355.7500,-2.3125,-86.6250,-0.4000,9.7800,0.5600,-0.0911,-0.5362,0.0943,-86.6250,24.7648,25.0000,0.0000,0.0000
12,5.6335,GROUND,-1.1875,-1.7547,-0.3530,9.9243,-0.0785,-0.4600,9.3900,0.3900,0.0400,-0.2700,-0.2000,355.7500,-2.5000,-86.6250,-0.4200,9.7800,0.5600,0.0552,-0.9343,-0.7194,-86.6250,24.7648,25.0000,0.0000,0.0000
13,5.6821,GROUND,-0.5000,-1.5651,-0.2746,9.8851,-0.0392,-0.3500,9.3200,0.4500,0.1100,-0.4900,-0.0300,356.2500,-2.5625,-86.9375,-0.4400,9.7800,0.5200,0.0872,-0.8400,-0.5988,-86.9375,24.7648,25.0000,0.0000,0.0000
