#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
1,5.0765,GROUND,-0.8125,-4.5503,-1.2553,8.3160,-4.8800,-0.9400,8.9100,0.0000,-0.1200,0.4400,359.9375,-29.8750,5.5625,-4.8800,-0.8200,8.4600,-7.1176,-8.9223,-1.5450,-29.8750,24.7648,25.0000,0.0000,0.0000
2,5.1173,GROUND,0.1875,-4.4718,-0.9022,8.3553,-4.8600,-0.7800,8.4400,0.0100,0.0400,-0.0200,359.9375,-29.8125,5.5625,-4.8800,-0.8200,8.4600,-9.2683,-9.3131,-0.5242,-29.8125,24.7648,25.0000,0.0000,0.0000
3,5.1578,GROUND,-1.0625,-4.8641,-0.8630,8.2768,-5.0900,-0.9300,8.6400,-0.2100,-0.1100,0.1700,359.9375,-29.8750,5.5625,-4.8800,-0.8200,8.4600,-10.1104,-9.7656,-1.0039,-29.8750,24.7648,25.0000,0.0000,0.0000
4,5.1971,GROUND,0.4375,-5.0210,-0.8238,7.6100,-5.0900,-0.8000,8.5100,-0.2000,0.0200,0.0500,359.9375,-29.8750,5.5625,-4.8800,-0.8200,8.4600,-10.4085,-9.9835,-0.2545,-29.8750,24.7648,25.0000,0.0000,0.0000
5,5.2359,GROUND,1.5625,-5.3348,-0.0785,7.1392,-4.7700,-1.2700,9.0900,0.1000,-0.4400,0.6200,359.9375,-29.8125,5.5625,-4.8800,-0.8200,8.4600,-10.0623,-10.1073,0.7305,-29.8125,24.7648,25.0000,0.0000,0.0000
6,5.2729,GROUND,-0.8125,-4.9818,-0.9022,7.9630,-4.9500,-0.7400,8.2400,0.0000,0.0000,0.0600,359.9375,-29.8125,5.5625,-4.8800,-0.8200,8.4600,-10.4400,-10.6695,-0.3815,-29.8125,24.7648,25.0000,0.0000,0.0000
7,5.3121,GROUND,0.2500,-4.9033,-0.7061,8.0415,-4.9900,-0.9000,8.4900,-0.1000,-0.0700,0.0200,359.9375,-29.8125,5.5625,-4.8800,-0.8200,8.4600,-10.4626,-10.9075,-0.1485,-29.8125,24.7648,25.0000,0.0000,0.0000
8,5.3510,GROUND,1.1875,-4.7464,-0.6669,8.3553,-5.0400,-0.8100,8.3700,-0.1600,0.0100,-0.0800,359.9375,-29.8750,5.5625,-4.8800,-0.8200,8.4600,-10.4469,-10.9959,0.5171,-29.8750,24.7648,25.0000,0.0000,0.0000
9,5.3907,GROUND,-0.8125,-4.7464,-0.9414,8.7083,-4.9800,-0.7300,8.2800,-0.0900,0.0800,-0.1800,359.9375,-29.8125,5.5625,-4.8800,-0.8200,8.4600,-10.6111,-11.5904,-0.4763,-29.8125,24.7648,25.0000,0.0000,0.0000
10,5.4302,GROUND,0.1875,-5.1387,-0.7845,7.6492,-5.0400,-0.7400,8.5400,-0.1600,0.0800,0.0700,359.9375,-29.8125,5.5625,-4.8800,326.8600,8.4600,-10.5764,-11.7572,-0.2427,-29.8125,24.7648,25.0000,0.0000,0.0000
