Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0728,GROUND,-0.4375,-0.0785,9.6497,-0.3923,-0.1900,9.2000,0.1800,0.0000,-0.5900,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.1016,-0.4086,-0.4358,-1.0625,0.3860
5.1093,GROUND,0.1875,-0.0785,9.6890,-0.3138,-0.2200,9.2600,0.1700,-0.0300,-0.5400,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0868,-0.3256,-0.0239,-1.0625,0.5866
5.1456,GROUND,2.1250,-0.0392,9.7282,-0.3530,-0.1600,9.2100,0.1400,0.0200,-0.5800,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0569,-0.1200,1.3197,-1.0625,1.4462
5.1819,GROUND,0.9375,-0.0785,9.6890,-0.2746,-0.1600,9.2000,0.2200,0.0000,-0.6100,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0725,-0.1585,1.0807,-1.0625,1.2538
5.2169,GROUND,-0.3125,-0.0785,9.6890,-0.3530,-0.1900,9.1800,0.1800,0.0000,-0.6100,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0787,-0.3123,0.2141,-1.0625,0.8341
5.2526,GROUND,0.4375,-0.0392,9.6890,-0.3138,-0.1900,9.2400,0.1400,0.0100,-0.5700,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0806,-0.2853,0.3485,-1.0625,0.8536
5.2884,GROUND,-0.3750,-0.0392,9.7282,-0.3138,-0.1900,9.2400,0.1800,0.0000,-0.5600,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0572,-0.3902,-0.1045,-1.0625,1.2252
5.3229,GROUND,-1.8750,-0.0785,9.6890,-0.3530,-0.2000,9.2200,0.1600,0.0000,-0.5800,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0727,-0.6851,-1.2102,-1.0625,2.0163
5.3588,GROUND,-0.1875,-0.0392,9.7282,-0.2746,-0.1500,9.2000,0.1700,0.0300,-0.5900,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0540,-0.4898,-0.5835,-1.0625,1.6390
5.3949,GROUND,-0.5625,-0.1177,9.7282,-0.2746,-0.1600,9.2500,0.2000,0.0200,-0.5400,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0470,-0.4840,-0.5766,-1.0625,1.9177
5.4285,GROUND,0.7500,-0.0392,9.6890,-0.3530,-0.2200,9.2200,0.1800,-0.0300,-0.5800,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0683,-0.1833,0.2429,-1.0625,0.4887
5.4647,GROUND,0.5625,-0.0392,9.7282,-0.4707,-0.1500,9.2300,0.1600,0.0200,-0.5600,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0524,-0.1062,0.4396,-1.0625,0.5473
5.5000,GROUND,0.0625,-0.0785,9.6890,-0.3530,-0.2000,9.2100,0.1900,-0.0200,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0707,-0.2069,0.2030,-1.0625,0.5060
5.5362,GROUND,-0.8750,-0.0785,9.7282,-0.3923,-0.1700,9.2300,0.2000,0.0000,-0.5600,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0535,-0.5019,-0.4721,-1.0625,1.8822
5.5705,GROUND,-0.9375,-0.0392,9.6890,-0.3138,-0.1800,9.2100,0.1900,0.0000,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0711,-0.6378,-0.7696,-1.0625,2.0910
5.6070,GROUND,0.0625,-0.0392,9.7282,-0.3923,-0.1800,9.2100,0.1900,0.0200,-0.5300,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0534,-0.3813,-0.2582,-1.0625,1.1034
5.6405,GROUND,-2.2500,-0.0785,9.6890,-0.3138,-0.2000,9.2400,0.1900,0.0200,-0.5300,-0.0600,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0712,-1.0026,-1.5067,-1.0625,5.5477
5.6740,GROUND,-0.5625,-0.0785,9.6890,-0.2746,-0.1600,9.2100,0.2000,0.0000,-0.5500,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0777,-0.6722,-0.9299,-1.0625,1.9793
5.7099,GROUND,-1.0000,-0.0785,9.6497,-0.3138,-0.1600,9.2500,0.1600,0.0200,-0.5500,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.1045,-0.6921,-0.9829,-1.0625,1.3090
5.7459,GROUND,-0.4375,-0.0785,9.6890,-0.3530,-0.2000,9.2000,0.2200,-0.0200,-0.5900,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0904,-0.4837,-0.6507,-1.0625,0.6430
5.7813,GROUND,0.5000,-0.0392,9.7282,-0.3923,-0.1700,9.2500,0.1400,0.0000,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0607,-0.0307,0.0637,-1.0625,0.0714
5.8176,GROUND,-1.1250,-0.0785,9.7282,-0.3530,-0.1800,9.2200,0.1700,0.0000,-0.5800,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0497,-0.5048,-0.6815,-1.0625,1.8818
5.8528,GROUND,-1.3125,-0.0392,9.7282,-0.3923,-0.1400,9.2300,0.1700,0.0300,-0.5600,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0454,-0.7585,-1.0838,-1.0625,5.2485
5.8884,GROUND,-0.8125,-0.0785,9.7282,-0.3530,-0.1900,9.2200,0.2100,0.0300,-0.5600,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0437,-0.6450,-0.9229,-1.0625,3.8407
