Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
5.0605,GROUND,1.5000,0.0000,9.7674,-0.2746,-0.0300,9.2200,0.1100,0.0000,-0.5700,-0.0400,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,0.0082,0.2260,1.4906,-0.2500
5.0977,GROUND,0.6875,0.0392,9.6890,-0.2746,-0.0100,9.2400,0.1700,0.0200,-0.5500,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0500,0.1090,0.9559,-0.2500
5.1339,GROUND,0.6250,0.0000,9.7282,-0.2354,-0.0500,9.2300,0.1600,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0459,0.0760,0.7498,-0.2500
5.1694,GROUND,0.6250,0.0392,9.6890,-0.3923,-0.0300,9.2300,0.1900,0.0000,-0.5600,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0682,0.0610,0.6733,-0.2500
5.2059,GROUND,-1.0625,0.0785,9.7282,-0.3530,-0.0300,9.2400,0.1900,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0529,-0.1322,-0.4030,-0.2500
5.2417,GROUND,1.1250,0.0392,9.6890,-0.3530,-0.0700,9.2400,0.1200,-0.0200,-0.5500,-0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0705,0.0629,0.5437,-0.2500
5.2779,GROUND,0.5000,0.0392,9.7282,-0.3138,-0.0100,9.2200,0.1700,0.0500,-0.5600,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0533,0.0543,0.5174,-0.2500
5.3122,GROUND,0.7500,0.0785,9.7282,-0.3138,-0.0300,9.2400,0.1400,0.0000,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0467,0.0912,0.6627,-0.2500
5.3485,GROUND,-0.6250,0.0000,9.6497,-0.3530,-0.0400,9.2300,0.1700,0.0000,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0928,-0.1436,-0.1367,-0.2500
5.3821,GROUND,0.0000,0.0392,9.6890,-0.3138,-0.0300,9.2200,0.1800,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0860,-0.1185,-0.0535,-0.2500
5.4164,GROUND,0.2500,0.0000,9.6890,-0.3138,-0.0400,9.2500,0.1500,0.0000,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0834,-0.0529,0.1339,-0.2500
5.4520,GROUND,-0.1250,0.0392,9.6890,-0.3530,-0.0300,9.2400,0.1600,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0825,-0.1193,-0.0282,-0.2500
5.4885,GROUND,-0.3750,0.0000,9.7282,-0.3138,-0.0400,9.2300,0.1200,-0.0100,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0579,-0.2125,-0.2462,-0.2500
5.5245,GROUND,0.1250,0.0392,9.7282,-0.3530,-0.0300,9.2400,0.1700,0.0000,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0484,-0.1064,-0.0174,-0.2500
5.5610,GROUND,0.6250,0.0392,9.7282,-0.3138,-0.0200,9.2400,0.1600,0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0447,0.0895,0.3825,-0.2500
5.5981,GROUND,-0.0625,0.0000,9.6890,-0.3530,-0.0400,9.2100,0.1400,0.0000,-0.5700,0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0678,-0.0548,0.1056,-0.2500
5.6340,GROUND,-0.4375,0.0392,9.7282,-0.3923,-0.0200,9.2600,0.1700,0.0100,-0.5300,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0523,-0.2294,-0.2344,-0.2500
5.6678,GROUND,-0.1875,0.0392,9.6890,-0.3530,-0.0400,9.2500,0.1500,0.0000,-0.5500,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0706,-0.2135,-0.2080,-0.2500
5.7018,GROUND,0.0000,0.0392,9.7282,-0.3138,-0.0300,9.2200,0.1500,0.0000,-0.5700,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0533,-0.1384,-0.0808,-0.2500
5.7382,GROUND,-0.4375,0.0392,9.6890,-0.3530,-0.0300,9.2300,0.1300,0.0000,-0.5500,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0710,-0.2726,-0.3060,-0.2500
5.7742,GROUND,-0.1875,0.0392,9.6890,-0.3530,-0.0600,9.2300,0.1700,-0.0100,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0777,-0.2248,-0.2355,-0.2500
5.8108,GROUND,-0.2500,0.0000,9.7282,-0.3530,-0.0400,9.2300,0.1500,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0560,-0.2297,-0.2476,-0.2500
5.8467,GROUND,-0.5625,0.0392,9.7674,-0.2746,-0.0200,9.2400,0.1400,0.0100,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0236,-0.3572,-0.4481,-0.2500
5.8824,GROUND,-1.0625,0.0000,9.6890,-0.3138,-0.0500,9.2300,0.1500,-0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0597,-0.6035,-0.8375,-0.2500
